id;start_time;end_time;duration;role;user_id
1;2020-09-08T06:18:27;2020-09-08T09:15:25;19400;Facilitator Oregon;2
2;2020-09-08T11:17:30;2020-09-07T21:00:55;39609;Re-contextualized;2
3;2020-09-07T19:10:35;2020-09-08T03:25:33;80684;Forint generating;2
4;2020-09-08T02:42:08;2020-09-08T05:08:03;46877;hacking;2
5;2020-09-08T11:24:26;2020-09-08T16:10:36;32339;Alaska Saint Helena Pound;2
6;2020-09-08T01:44:28;2020-09-08T17:38:55;12399;programming upward-trending Andorra;1
7;2020-09-08T06:26:32;2020-09-08T14:22:38;16053;Administrator Ergonomic Turnpike;2
8;2020-09-08T08:29:18;2020-09-08T15:52:06;36925;Lilangeni South Dakota Soft;2
9;2020-09-08T03:37:17;2020-09-08T07:07:53;6664;Kids circuit Towels;1
10;2020-09-08T11:25:58;2020-09-08T05:26:10;37081;Forward Rustic;2
